+=============================================================================+
| Traininig store    1                                                        |
+=============================================================================+
Val 100% loss: 0.731429666, rmspe: 0.188511656
Val 100% loss: 0.136077691, rmspe: 0.110530888
Val 100% loss: 0.132176857, rmspe: 0.110274695
Val 100% loss: 0.129762406, rmspe: 0.109373622
Val 100% loss: 0.132484517, rmspe: 0.111661115
Val 100% loss: 0.143976826, rmspe: 0.124664166
Val 100% loss: 0.130769701, rmspe: 0.105409148
Val 100% loss: 0.121928175, rmspe: 0.107824516
Val 100% loss: 0.119513973, rmspe: 0.106435548
Val 100% loss: 0.120872112, rmspe: 0.109981401
Val 100% loss: 0.117204251, rmspe: 0.112700077
Val 100% loss: 0.117785540, rmspe: 0.104011155
Val 100% loss: 0.122619617, rmspe: 0.103591082
Val 100% loss: 0.099753390, rmspe: 0.103568759
Val 100% loss: 0.096036438, rmspe: 0.100162907
Val 100% loss: 0.093524481, rmspe: 0.100065336
Val 100% loss: 0.088799462, rmspe: 0.096948070
Val 100% loss: 0.093104395, rmspe: 0.102556124
Val 100% loss: 0.080836405, rmspe: 0.093306495
Val 100% loss: 0.079483800, rmspe: 0.096275229
Val 100% loss: 0.078355780, rmspe: 0.092923576
Val 100% loss: 0.077736867, rmspe: 0.095711687
Val 100% loss: 0.071773326, rmspe: 0.087905701
Val 100% loss: 0.075343824, rmspe: 0.090396419
Val 100% loss: 0.069101413, rmspe: 0.086708975
Val 100% loss: 0.090160944, rmspe: 0.098317173
Val 100% loss: 0.066502358, rmspe: 0.083843125
Val 100% loss: 0.064509932, rmspe: 0.084063656
Val 100% loss: 0.064522258, rmspe: 0.082562083
Val 100% loss: 0.064767301, rmspe: 0.083487051
Val 100% loss: 0.060025933, rmspe: 0.083354973
+=============================================================================+
| Time taken: 24.782000065
+=============================================================================+
+=============================================================================+
| Traininig store    7                                                        |
+=============================================================================+
Val 100% loss: 0.395269533, rmspe: 0.195842460
Val 100% loss: 0.339858755, rmspe: 0.171017872
Val 100% loss: 0.322305219, rmspe: 0.161886887
Val 100% loss: 0.301593239, rmspe: 0.159950907
Val 100% loss: 0.280969889, rmspe: 0.153589741
Val 100% loss: 0.256744669, rmspe: 0.147711493
Val 100% loss: 0.237944389, rmspe: 0.144993923
Val 100% loss: 0.227891724, rmspe: 0.134708991
Val 100% loss: 0.219323406, rmspe: 0.140303733
Val 100% loss: 0.209851687, rmspe: 0.134862191
Val 100% loss: 0.222579880, rmspe: 0.125912656
Val 100% loss: 0.201749205, rmspe: 0.129476190
Val 100% loss: 0.196300307, rmspe: 0.126088321
Val 100% loss: 0.190128109, rmspe: 0.128427881
Val 100% loss: 0.213497424, rmspe: 0.120398908
Val 100% loss: 0.173634422, rmspe: 0.122527770
Val 100% loss: 0.171467708, rmspe: 0.121542791
Val 100% loss: 0.168041270, rmspe: 0.116708114
Val 100% loss: 0.165259001, rmspe: 0.120275399
Val 100% loss: 0.164753228, rmspe: 0.123838619
Val 100% loss: 0.164937649, rmspe: 0.118717237
Val 100% loss: 0.236478007, rmspe: 0.120708230
Val 100% loss: 0.177176205, rmspe: 0.124096697
Val 100% loss: 0.148872625, rmspe: 0.113067149
Val 100% loss: 0.187680356, rmspe: 0.126574613
Val 100% loss: 0.133026995, rmspe: 0.108599238
Val 100% loss: 0.174099682, rmspe: 0.111366885
Val 100% loss: 0.154556907, rmspe: 0.103996598
Val 100% loss: 0.120426880, rmspe: 0.096261743
Val 100% loss: 0.122989614, rmspe: 0.097864287
Val 100% loss: 0.115343690, rmspe: 0.097521864
Val 100% loss: 0.124749167, rmspe: 0.096450586
Val 100% loss: 0.142389290, rmspe: 0.106012591
Val 100% loss: 0.106191649, rmspe: 0.095148818
Val 100% loss: 0.102871073, rmspe: 0.093639875
Val 100% loss: 0.097174047, rmspe: 0.091997063
Val 100% loss: 0.103253237, rmspe: 0.092812251
Val 100% loss: 0.104096996, rmspe: 0.096485153
Val 100% loss: 0.093670540, rmspe: 0.090571446
Val 100% loss: 0.093454950, rmspe: 0.092286550
Val 100% loss: 0.087708890, rmspe: 0.089314809
Val 100% loss: 0.089350956, rmspe: 0.091454626
Val 100% loss: 0.092073808, rmspe: 0.094979227
Val 100% loss: 0.216873130, rmspe: 0.134155113
Val 100% loss: 0.165408973, rmspe: 0.115825752
Val 100% loss: 0.126386824, rmspe: 0.106400182
Val 100% loss: 0.115238063, rmspe: 0.100897992
Val 100% loss: 0.107971572, rmspe: 0.097578567
Val 100% loss: 0.136977091, rmspe: 0.106100210
Val 100% loss: 0.096838096, rmspe: 0.093267245
+=============================================================================+
| Time taken: 26.979000092
+=============================================================================+
+=============================================================================+
| Traininig store    8                                                        |
+=============================================================================+
Val 100% loss: 0.267568104, rmspe: 0.239432658
Val 100% loss: 0.154410364, rmspe: 0.157167455
Val 100% loss: 0.137278696, rmspe: 0.144679480
Val 100% loss: 0.128085205, rmspe: 0.136528943
Val 100% loss: 0.128361150, rmspe: 0.140830953
Val 100% loss: 0.113713233, rmspe: 0.125203734
Val 100% loss: 0.108617041, rmspe: 0.123173365
Val 100% loss: 0.104049428, rmspe: 0.120948063
Val 100% loss: 0.100712901, rmspe: 0.115192491
Val 100% loss: 0.098050007, rmspe: 0.113493044
Val 100% loss: 0.095929624, rmspe: 0.111647573
Val 100% loss: 0.094914452, rmspe: 0.110974634
Val 100% loss: 0.092584708, rmspe: 0.107684827
Val 100% loss: 0.093081917, rmspe: 0.113018010
Val 100% loss: 0.090576189, rmspe: 0.109156972
Val 100% loss: 0.089389985, rmspe: 0.108928201
Val 100% loss: 0.092862892, rmspe: 0.107013334
Val 100% loss: 0.086220373, rmspe: 0.106742811
Val 100% loss: 0.085101930, rmspe: 0.110432626
Val 100% loss: 0.087747288, rmspe: 0.107497950
Val 100% loss: 0.083418007, rmspe: 0.105705316
Val 100% loss: 0.081014465, rmspe: 0.104673881
Val 100% loss: 0.080043761, rmspe: 0.104715871
Val 100% loss: 0.093272798, rmspe: 0.118634411
Val 100% loss: 0.081181810, rmspe: 0.109801267
Val 100% loss: 0.076493160, rmspe: 0.104091401
Val 100% loss: 0.078897112, rmspe: 0.107467696
Val 100% loss: 0.074014797, rmspe: 0.098144249
Val 100% loss: 0.071115843, rmspe: 0.097334663
Val 100% loss: 0.075228372, rmspe: 0.094713707
Val 100% loss: 0.078418739, rmspe: 0.098368174
Val 100% loss: 0.080575225, rmspe: 0.098255602
Val 100% loss: 0.071688024, rmspe: 0.101331914
Val 100% loss: 0.076917533, rmspe: 0.107956334
Val 100% loss: 0.065905708, rmspe: 0.095605136
Val 100% loss: 0.082637422, rmspe: 0.097267489
Val 100% loss: 0.078542713, rmspe: 0.102857637
Val 100% loss: 0.071429161, rmspe: 0.098679068
Val 100% loss: 0.066000370, rmspe: 0.095648627
Val 100% loss: 0.063298415, rmspe: 0.091746259
Val 100% loss: 0.065150572, rmspe: 0.095358248
Val 100% loss: 0.064787230, rmspe: 0.096534150
Val 100% loss: 0.060713690, rmspe: 0.091647299
Val 100% loss: 0.083812528, rmspe: 0.095225511
Val 100% loss: 0.060704323, rmspe: 0.089554404
Val 100% loss: 0.062161710, rmspe: 0.094180155
Val 100% loss: 0.059568061, rmspe: 0.088640647
Val 100% loss: 0.080063370, rmspe: 0.094135789
Val 100% loss: 0.069665354, rmspe: 0.090602674
Val 100% loss: 0.062432822, rmspe: 0.088240442
+=============================================================================+
| Time taken: 27.018000126
+=============================================================================+
+=============================================================================+
| Traininig store    9                                                        |
+=============================================================================+
Val 100% loss: 0.368870424, rmspe: 0.147878805
Val 100% loss: 0.296913800, rmspe: 0.137435310
Val 100% loss: 0.261138295, rmspe: 0.123783867
Val 100% loss: 0.238122065, rmspe: 0.117767282
Val 100% loss: 0.225354123, rmspe: 0.113569718
Val 100% loss: 0.204910927, rmspe: 0.112821671
Val 100% loss: 0.197804930, rmspe: 0.109732561
Val 100% loss: 0.217525380, rmspe: 0.106362686
Val 100% loss: 0.180981321, rmspe: 0.103302584
Val 100% loss: 0.190622035, rmspe: 0.107315277
Val 100% loss: 0.176088779, rmspe: 0.103090879
Val 100% loss: 0.169177186, rmspe: 0.100394548
Val 100% loss: 0.192044834, rmspe: 0.113628070
Val 100% loss: 0.165558512, rmspe: 0.096874810
Val 100% loss: 0.154464079, rmspe: 0.098566646
Val 100% loss: 0.175270280, rmspe: 0.098273823
Val 100% loss: 0.150317163, rmspe: 0.094313805
Val 100% loss: 0.138719015, rmspe: 0.093790105
Val 100% loss: 0.149449173, rmspe: 0.094879456
Val 100% loss: 0.140617413, rmspe: 0.096365928
Val 100% loss: 0.136368385, rmspe: 0.092846767
Val 100% loss: 0.122698525, rmspe: 0.088671827
Val 100% loss: 0.121187752, rmspe: 0.089378507
Val 100% loss: 0.113262038, rmspe: 0.087527111
Val 100% loss: 0.115613719, rmspe: 0.088284197
Val 100% loss: 0.114270846, rmspe: 0.088917014
Val 100% loss: 0.114277686, rmspe: 0.086965128
Val 100% loss: 0.113524067, rmspe: 0.086480155
Val 100% loss: 0.122938384, rmspe: 0.085945835
Val 100% loss: 0.111246973, rmspe: 0.086005225
Val 100% loss: 0.143907281, rmspe: 0.090567441
Val 100% loss: 0.099874200, rmspe: 0.082315079
Val 100% loss: 0.107293113, rmspe: 0.088267784
Val 100% loss: 0.096514793, rmspe: 0.083188818
Val 100% loss: 0.094195674, rmspe: 0.082120622
Val 100% loss: 0.094341398, rmspe: 0.081205480
Val 100% loss: 0.097081743, rmspe: 0.082604764
Val 100% loss: 0.104851184, rmspe: 0.086602887
Val 100% loss: 0.092412422, rmspe: 0.080346326
Val 100% loss: 0.089495212, rmspe: 0.079550379
Val 100% loss: 0.103645624, rmspe: 0.083634331
Val 100% loss: 0.086395370, rmspe: 0.078449279
Val 100% loss: 0.089936146, rmspe: 0.080335763
Val 100% loss: 0.100047076, rmspe: 0.078601870
Val 100% loss: 0.090637115, rmspe: 0.078066142
Val 100% loss: 0.085997071, rmspe: 0.078855461
Val 100% loss: 0.093689366, rmspe: 0.083292635
Val 100% loss: 0.084648462, rmspe: 0.078338550
Val 100% loss: 0.130716067, rmspe: 0.084521316
Val 100% loss: 0.084096080, rmspe: 0.077873069
+=============================================================================+
| Time taken: 27.279000044
+=============================================================================+
+=============================================================================+
| Traininig store   10                                                        |
+=============================================================================+
Val 100% loss: 0.408089600, rmspe: 0.120977960
Val 100% loss: 0.343124317, rmspe: 0.104084796
Val 100% loss: 0.319562312, rmspe: 0.101552742
Val 100% loss: 0.305838882, rmspe: 0.099197849
Val 100% loss: 0.293833442, rmspe: 0.099262711
Val 100% loss: 0.293022448, rmspe: 0.102781154
Val 100% loss: 0.279806023, rmspe: 0.095385479
Val 100% loss: 0.272707458, rmspe: 0.095692429
Val 100% loss: 0.273055572, rmspe: 0.092942001
Val 100% loss: 0.263544942, rmspe: 0.096888738
Val 100% loss: 0.260120103, rmspe: 0.091453856
Val 100% loss: 0.258378756, rmspe: 0.097505510
Val 100% loss: 0.246993239, rmspe: 0.090046354
Val 100% loss: 0.265948627, rmspe: 0.100402530
Val 100% loss: 0.238090607, rmspe: 0.087952885
Val 100% loss: 0.236370434, rmspe: 0.092374054
Val 100% loss: 0.231821612, rmspe: 0.087057928
Val 100% loss: 0.222705013, rmspe: 0.086460428
Val 100% loss: 0.225420536, rmspe: 0.091756100
Val 100% loss: 0.240000080, rmspe: 0.085812486
Val 100% loss: 0.193752339, rmspe: 0.083914614
Val 100% loss: 0.227649002, rmspe: 0.084792552
Val 100% loss: 0.207094191, rmspe: 0.087542882
Val 100% loss: 0.222400156, rmspe: 0.083268441
Val 100% loss: 0.200186260, rmspe: 0.087539305
Val 100% loss: 0.176018575, rmspe: 0.077380890
Val 100% loss: 0.164631914, rmspe: 0.077002548
Val 100% loss: 0.167978472, rmspe: 0.080587556
Val 100% loss: 0.154839348, rmspe: 0.075873393
Val 100% loss: 0.150183196, rmspe: 0.075605573
Val 100% loss: 0.212739401, rmspe: 0.092809447
Val 100% loss: 0.142497760, rmspe: 0.072487547
Val 100% loss: 0.150585814, rmspe: 0.074260824
Val 100% loss: 0.139464775, rmspe: 0.073205614
Val 100% loss: 0.135623223, rmspe: 0.072421765
Val 100% loss: 0.141633041, rmspe: 0.072371199
Val 100% loss: 0.130210054, rmspe: 0.070019632
Val 100% loss: 0.251624800, rmspe: 0.102627916
Val 100% loss: 0.151288367, rmspe: 0.072981140
Val 100% loss: 0.126982059, rmspe: 0.069669323
Val 100% loss: 0.125043214, rmspe: 0.069195565
Val 100% loss: 0.123098526, rmspe: 0.068694869
Val 100% loss: 0.123080805, rmspe: 0.069686083
Val 100% loss: 0.121089070, rmspe: 0.068226209
Val 100% loss: 0.252580233, rmspe: 0.097374733
Val 100% loss: 0.121451424, rmspe: 0.069445972
Val 100% loss: 0.114381819, rmspe: 0.066629056
Val 100% loss: 0.117202388, rmspe: 0.068014923
Val 100% loss: 0.122999560, rmspe: 0.069833975
Val 100% loss: 0.111881463, rmspe: 0.065630786
+=============================================================================+
| Time taken: 27.476999998
+=============================================================================+
+=============================================================================+
| Traininig store   11                                                        |
+=============================================================================+
Val 100% loss: 0.671316812, rmspe: 0.191900511
Val 100% loss: 0.588659315, rmspe: 0.172344818
Val 100% loss: 0.560034066, rmspe: 0.162621330
Val 100% loss: 0.552934218, rmspe: 0.160661130
Val 100% loss: 0.575915322, rmspe: 0.200360224
Val 100% loss: 0.498658092, rmspe: 0.171931787
Val 100% loss: 0.516926992, rmspe: 0.163201345
Val 100% loss: 0.497545522, rmspe: 0.156632018
Val 100% loss: 0.455741585, rmspe: 0.159632355
Val 100% loss: 0.453174426, rmspe: 0.157375365
Val 100% loss: 0.424088423, rmspe: 0.157726996
Val 100% loss: 0.459209831, rmspe: 0.155074942
Val 100% loss: 0.395122820, rmspe: 0.168964130
Val 100% loss: 0.353166740, rmspe: 0.154934682
Val 100% loss: 0.539240869, rmspe: 0.160785007
Val 100% loss: 0.519398230, rmspe: 0.159418471
Val 100% loss: 0.507808225, rmspe: 0.159502140
Val 100% loss: 0.379322700, rmspe: 0.156062811
Val 100% loss: 0.405304187, rmspe: 0.165477607
Val 100% loss: 0.287778996, rmspe: 0.135413854
Val 100% loss: 0.260955156, rmspe: 0.132732180
Val 100% loss: 0.228001338, rmspe: 0.131881779
Val 100% loss: 0.490231340, rmspe: 0.153348130
Val 100% loss: 0.332805573, rmspe: 0.139658649
Val 100% loss: 0.232326953, rmspe: 0.130729506
Val 100% loss: 0.274841322, rmspe: 0.138589563
Val 100% loss: 1.230562044, rmspe: 0.338977594
Val 100% loss: 0.450311850, rmspe: 0.151860036
Val 100% loss: 0.347414308, rmspe: 0.146902972
Val 100% loss: 0.253472806, rmspe: 0.135733157
Val 100% loss: 0.358480284, rmspe: 0.171757993
Val 100% loss: 0.219932360, rmspe: 0.127420545
Val 100% loss: 0.206716184, rmspe: 0.124997173
Val 100% loss: 0.198970072, rmspe: 0.124343201
Val 100% loss: 0.194086416, rmspe: 0.122227596
Val 100% loss: 0.188754895, rmspe: 0.122058499
Val 100% loss: 0.191224786, rmspe: 0.122354560
Val 100% loss: 0.189340885, rmspe: 0.121802348
Val 100% loss: 0.193261551, rmspe: 0.121130368
Val 100% loss: 0.187769592, rmspe: 0.118287365
Val 100% loss: 0.248845661, rmspe: 0.160862176
Val 100% loss: 0.194166432, rmspe: 0.120442078
Val 100% loss: 0.180148528, rmspe: 0.118984657
Val 100% loss: 0.170258716, rmspe: 0.116871743
Val 100% loss: 0.170264361, rmspe: 0.118279363
Val 100% loss: 0.172530771, rmspe: 0.115432541
Val 100% loss: 0.169461518, rmspe: 0.117159013
Val 100% loss: 0.182421795, rmspe: 0.117860441
Val 100% loss: 0.170369740, rmspe: 0.114958262
Val 100% loss: 0.166805558, rmspe: 0.114475026
+=============================================================================+
| Time taken: 28.009000063
+=============================================================================+
+=============================================================================+
| Traininig store   12                                                        |
+=============================================================================+
Val 100% loss: 0.448860742, rmspe: 0.177303941
Val 100% loss: 0.322248190, rmspe: 0.145113086
Val 100% loss: 0.284019658, rmspe: 0.140687585
Val 100% loss: 0.264414978, rmspe: 0.130325836
Val 100% loss: 0.248866883, rmspe: 0.128480656
Val 100% loss: 0.239382122, rmspe: 0.127501311
Val 100% loss: 0.230322144, rmspe: 0.121937580
Val 100% loss: 0.225298197, rmspe: 0.118126282
Val 100% loss: 0.221833432, rmspe: 0.116134776
Val 100% loss: 0.211024454, rmspe: 0.119839640
Val 100% loss: 0.204378965, rmspe: 0.116245002
Val 100% loss: 0.203852798, rmspe: 0.110999646
Val 100% loss: 0.215629812, rmspe: 0.127743836
Val 100% loss: 0.188116469, rmspe: 0.108858789
Val 100% loss: 0.227283937, rmspe: 0.109906763
Val 100% loss: 0.199242211, rmspe: 0.107061922
Val 100% loss: 0.182309438, rmspe: 0.109649027
Val 100% loss: 0.235053505, rmspe: 0.136347493
Val 100% loss: 0.163249399, rmspe: 0.103892168
Val 100% loss: 0.161789528, rmspe: 0.102577633
Val 100% loss: 0.151232009, rmspe: 0.103338027
Val 100% loss: 0.185641411, rmspe: 0.123409491
Val 100% loss: 0.144826433, rmspe: 0.107969994
Val 100% loss: 0.152494786, rmspe: 0.112719308
Val 100% loss: 0.131642421, rmspe: 0.100942865
Val 100% loss: 0.118640006, rmspe: 0.097530496
Val 100% loss: 0.126844375, rmspe: 0.100358960
Val 100% loss: 0.136041828, rmspe: 0.095041310
Val 100% loss: 0.109346930, rmspe: 0.091066949
Val 100% loss: 0.106093133, rmspe: 0.093612734
Val 100% loss: 0.104344817, rmspe: 0.089203305
Val 100% loss: 0.100670463, rmspe: 0.087661827
Val 100% loss: 0.099836958, rmspe: 0.088006192
Val 100% loss: 0.097234183, rmspe: 0.086842607
Val 100% loss: 0.094184757, rmspe: 0.086712889
Val 100% loss: 0.255009464, rmspe: 0.151410719
Val 100% loss: 0.098842886, rmspe: 0.089553146
Val 100% loss: 0.093259353, rmspe: 0.085419903
Val 100% loss: 0.091058247, rmspe: 0.085839784
Val 100% loss: 0.091283844, rmspe: 0.086768724
Val 100% loss: 0.088785043, rmspe: 0.085307817
Val 100% loss: 0.087510866, rmspe: 0.084260232
Val 100% loss: 0.086888910, rmspe: 0.082886245
Val 100% loss: 0.087037450, rmspe: 0.085313709
Val 100% loss: 0.085736622, rmspe: 0.084606705
Val 100% loss: 0.088655508, rmspe: 0.085968430
Val 100% loss: 0.082719939, rmspe: 0.080666458
Val 100% loss: 0.078866759, rmspe: 0.080651195
Val 100% loss: 0.111916866, rmspe: 0.092110933
Val 100% loss: 0.081970094, rmspe: 0.083602036
+=============================================================================+
| Time taken: 27.161000013
+=============================================================================+
+=============================================================================+
| Traininig store   13                                                        |
+=============================================================================+
Val 100% loss: 0.442752989, rmspe: 0.246683513
Val 100% loss: 0.311321537, rmspe: 0.153815486
Val 100% loss: 0.266018076, rmspe: 0.146072123
Val 100% loss: 0.236675117, rmspe: 0.143256307
Val 100% loss: 0.221222693, rmspe: 0.136166973
Val 100% loss: 0.209118493, rmspe: 0.131451334
Val 100% loss: 0.200870878, rmspe: 0.126791169
Val 100% loss: 0.185027531, rmspe: 0.134666486
Val 100% loss: 0.175628671, rmspe: 0.124365786
Val 100% loss: 0.166369359, rmspe: 0.123752664
Val 100% loss: 0.149792322, rmspe: 0.119044277
Val 100% loss: 0.155286256, rmspe: 0.122131374
Val 100% loss: 0.140328378, rmspe: 0.113273085
Val 100% loss: 0.141518424, rmspe: 0.113422860
Val 100% loss: 0.126106696, rmspe: 0.116362336
Val 100% loss: 0.115549419, rmspe: 0.111781137
Val 100% loss: 0.117840872, rmspe: 0.116137006
Val 100% loss: 0.119203970, rmspe: 0.105860580
Val 100% loss: 0.107464541, rmspe: 0.103553216
Val 100% loss: 0.136731437, rmspe: 0.111119596
Val 100% loss: 0.099200856, rmspe: 0.104508917
Val 100% loss: 0.106248997, rmspe: 0.101761645
Val 100% loss: 0.111940768, rmspe: 0.108143792
Val 100% loss: 0.093273648, rmspe: 0.097651065
Val 100% loss: 0.101285744, rmspe: 0.100898669
Val 100% loss: 0.089425418, rmspe: 0.099872484
Val 100% loss: 0.096474321, rmspe: 0.105297715
Val 100% loss: 0.123989575, rmspe: 0.104288715
Val 100% loss: 0.082195148, rmspe: 0.094499479
Val 100% loss: 0.083491407, rmspe: 0.094069965
Val 100% loss: 0.076932402, rmspe: 0.092421425
Val 100% loss: 0.130615839, rmspe: 0.104062041
Val 100% loss: 0.074800929, rmspe: 0.091851762
Val 100% loss: 0.074857103, rmspe: 0.091161709
Val 100% loss: 0.076464795, rmspe: 0.092656475
Val 100% loss: 0.074915454, rmspe: 0.087891490
Val 100% loss: 0.098771904, rmspe: 0.094133340
Val 100% loss: 0.076409774, rmspe: 0.090842216
Val 100% loss: 0.115040017, rmspe: 0.104419513
Val 100% loss: 0.070341827, rmspe: 0.086005159
Val 100% loss: 0.064261198, rmspe: 0.085562360
Val 100% loss: 0.067581507, rmspe: 0.087774306
Val 100% loss: 0.092116978, rmspe: 0.090345408
Val 100% loss: 0.067148092, rmspe: 0.082442449
Val 100% loss: 0.066324238, rmspe: 0.082992568
Val 100% loss: 0.059105206, rmspe: 0.082404196
Val 100% loss: 0.062121716, rmspe: 0.083254686
Val 100% loss: 0.063229859, rmspe: 0.080375405
Val 100% loss: 0.068867977, rmspe: 0.088116354
Val 100% loss: 0.058306814, rmspe: 0.080328884
+=============================================================================+
| Time taken: 27.198000193
+=============================================================================+
+=============================================================================+
| Traininig store   14                                                        |
+=============================================================================+
Val 100% loss: 0.419765335, rmspe: 0.202712408
Val 100% loss: 0.269271669, rmspe: 0.126825131
Val 100% loss: 0.235295188, rmspe: 0.120376931
Val 100% loss: 0.216274002, rmspe: 0.116274258
Val 100% loss: 0.203380956, rmspe: 0.115106117
Val 100% loss: 0.196820391, rmspe: 0.112018512
Val 100% loss: 0.194679579, rmspe: 0.109413467
Val 100% loss: 0.192529400, rmspe: 0.108006707
Val 100% loss: 0.189197780, rmspe: 0.106347806
Val 100% loss: 0.182554893, rmspe: 0.105661262
Val 100% loss: 0.175542719, rmspe: 0.104555643
Val 100% loss: 0.173409332, rmspe: 0.103206159
Val 100% loss: 0.170312330, rmspe: 0.102214037
Val 100% loss: 0.163667694, rmspe: 0.103684747
Val 100% loss: 0.161583922, rmspe: 0.100614612
Val 100% loss: 0.164540116, rmspe: 0.099302577
Val 100% loss: 0.162501341, rmspe: 0.098454451
Val 100% loss: 0.151414685, rmspe: 0.099769303
Val 100% loss: 0.149412790, rmspe: 0.096933437
Val 100% loss: 0.177922063, rmspe: 0.098929379
Val 100% loss: 0.142749676, rmspe: 0.095715228
Val 100% loss: 0.141889232, rmspe: 0.099640050
Val 100% loss: 0.146393724, rmspe: 0.094417798
Val 100% loss: 0.135354251, rmspe: 0.093732363
Val 100% loss: 0.160715043, rmspe: 0.095309288
Val 100% loss: 0.134284821, rmspe: 0.091036718
Val 100% loss: 0.127988093, rmspe: 0.090342208
Val 100% loss: 0.130671355, rmspe: 0.091006618
Val 100% loss: 0.126829214, rmspe: 0.089082352
Val 100% loss: 0.119132633, rmspe: 0.088307928
Val 100% loss: 0.119217840, rmspe: 0.087724516
Val 100% loss: 0.120565454, rmspe: 0.093579256
Val 100% loss: 0.118370547, rmspe: 0.090476773
Val 100% loss: 0.111613123, rmspe: 0.086875133
Val 100% loss: 0.105817095, rmspe: 0.086175997
Val 100% loss: 0.107413498, rmspe: 0.089329255
Val 100% loss: 0.113738945, rmspe: 0.093841106
Val 100% loss: 0.110306283, rmspe: 0.089867908
Val 100% loss: 0.103033236, rmspe: 0.087734972
Val 100% loss: 0.100449731, rmspe: 0.085822531
Val 100% loss: 0.121783117, rmspe: 0.092064154
Val 100% loss: 0.095841315, rmspe: 0.085360222
Val 100% loss: 0.091050889, rmspe: 0.081191479
Val 100% loss: 0.087710648, rmspe: 0.080149426
